generation,fitness,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6
24,8.171872,1,34,18,18,26,157
2,8.167192,1,35,10,12,10,2
22,8.1541815,1,34,18,18,26,29
26,8.144808,1,34,18,18,26,54
34,8.144808,1,34,18,18,26,53
43,8.131612,1,34,18,18,26,25
60,8.130197,1,34,27,20,26,2
20,8.107403,1,34,18,18,26,36
26,8.107403,1,34,18,18,26,32
41,8.107403,1,34,18,18,26,35
20,8.065739,1,12,18,18,26,2
194,8.055121,1,9,27,18,26,2
3,8.0087185,1,41,0,18,17,2
115,8.005976,1,19,27,18,26,2
