generation,fitness,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
46,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
47,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
48,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
49,14.119198,1,34,27,18,26,2
